dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
heart,0,128,102,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,237,237,0.540084,0.540084,,,,,,,,,25.0,75.0,entropia,PCSMOTE,0.8,42,2d,2025-10-12T23:48:00.884507
heart,1,43,102,sobremuestreada,ok,59,59,False,False,1,pre_split,59,237,296,0.181435,0.344595,43.0,34.0,0.8445378151260503,0.13582546113650934,0.8039867109634553,5.0,0.7142857142857143,0.8631205685666311,25.0,75.0,entropia,PCSMOTE,0.8,42,2d,2025-10-12T23:48:00.990064
heart,2,28,102,sobremuestreada,ok,74,74,False,False,1,pre_split,74,237,370,0.118143,0.275676,28.0,25.0,0.8057142857142858,0.12040747146117414,0.8367346938775512,5.0,0.7142857142857143,0.8631205685666311,25.0,75.0,entropia,PCSMOTE,0.8,42,2d,2025-10-12T23:48:01.076588
heart,3,28,102,sobremuestreada,ok,74,74,False,False,1,pre_split,74,237,444,0.118143,0.22973,28.0,24.0,0.8511904761904762,0.1200847678680477,0.795918367346939,5.0,0.7142857142857143,0.8631205685666311,25.0,75.0,entropia,PCSMOTE,0.8,42,2d,2025-10-12T23:48:01.164012
heart,4,10,102,sobremuestreada,ok,92,92,False,False,1,pre_split,92,237,536,0.042194,0.190299,10.0,9.0,0.9365079365079365,0.07098628499999335,0.7142857142857143,5.0,0.7142857142857143,0.5916727785823274,25.0,75.0,entropia,PCSMOTE,0.8,42,2d,2025-10-12T23:48:01.238176
